"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-06-06 ~ 2025-06-05"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"31","광주광역시 광산구 장덕동","1109","1109","0000","양우내안애","84.9423","202506","03","33,900","-","1","개인","개인","2008","풍영로330번길 16","-","중개거래","광주 광산구","-"
"32","광주광역시 광산구 소촌동","506-8","0506","0008","보양맨션","58.1400","202506","03","8,000","-","5","개인","개인","1988","송정공원로23번길 1","-","직거래","-","-"
"33","광주광역시 북구 각화동","608","0608","0000","각화센트럴파크서희스타힐스","72.9796","202506","03","36,000","-","7","개인","개인","2020","동문대로249번길 19","-","중개거래","광주 북구","-"
"34","광주광역시 남구 주월동","1328","1328","0000","남구주월골드클래스어반시티","84.9717","202506","03","50,300","-","11","개인","개인","2021","서문대로812번길 4-8","-","중개거래","광주 광산구, 광주 남구","-"
"35","광주광역시 서구 풍암동","1132","1132","0000","우미광장","59.7900","202506","03","16,300","-","19","개인","개인","2000","풍암순환로 183","-","중개거래","광주 서구","-"
"36","광주광역시 동구 학동","1012","1012","0000","무등산리버파크","84.9600","202506","03","31,300","-","1","개인","개인","2011","남문로693번길 11","-","중개거래","광주 남구, 광주 동구","-"
"37","광주광역시 북구 문흥동","920","0920","0000","대주2","59.9100","202506","03","10,000","-","8","개인","개인","1988","평교로 45","-","중개거래","광주 북구","-"
"38","광주광역시 북구 일곡동","848-1","0848","0001","현대2","59.3600","202506","03","14,500","-","8","개인","개인","1998","일곡마을로 55","-","중개거래","광주 북구","-"
"39","광주광역시 남구 임암동","855","0855","0000","효천1중흥에스-클래스에코파크","84.9772","202506","03","40,000","-","7","개인","개인","2019","효천3로 110","-","중개거래","광주 남구, 광주 서구","-"
"40","광주광역시 북구 풍향동","808","0808","0000","교대금호어울림","84.9842","202506","03","48,000","-","8","개인","개인","2017","군왕로 17","-","중개거래","광주 북구","-"
"41","광주광역시 동구 소태동","1103","1103","0000","무등산골드클래스","73.9060","202506","03","38,800","-","9","개인","개인","2018","학소로 109","-","중개거래","광주 동구","-"
"42","광주광역시 서구 내방동","848","0848","0000","내방마을주공","84.0300","202506","03","27,400","-","11","개인","개인","2002","화운로193번길 25","-","중개거래","광주 광산구, 광주 서구","-"
"43","광주광역시 북구 오치동","925-1","0925","0001","금호타운","84.9400","202506","03","16,000","-","5","개인","개인","1995","서하로233번길 50","-","중개거래","광주 북구","-"
"44","광주광역시 북구 동림동","298","0298","0000","삼라마이다스","84.9810","202506","03","21,000","-","1","개인","개인","2005","동운로 141","-","중개거래","광주 서구","-"
"45","광주광역시 서구 쌍촌동","1337","1337","0000","우미아트빌2","59.8276","202506","03","27,000","-","11","개인","개인","2002","상무민주로 120","-","중개거래","광주 서구","-"
"46","광주광역시 남구 진월동","172","0172","0000","고운하이플러스2차","84.9936","202506","02","36,700","-","7","개인","개인","2008","진제길 28","-","중개거래","광주 남구","-"
"47","광주광역시 북구 두암동","947-1","0947","0001","부영","60.0000","202506","02","10,300","-","4","개인","개인","1988","삼정로 71","-","직거래","-","-"
"48","광주광역시 서구 화정동","1610","1610","0000","유니버시아드힐스테이트2단지","84.9800","202506","02","44,300","-","6","개인","개인","2016","화정로 211","-","중개거래","광주 서구","-"
"49","광주광역시 남구 봉선동","985","0985","0000","라인광장1","41.4700","202506","02","14,500","-","9","법인","개인","1987","봉선중앙로 103","-","중개거래","광주 북구","-"
"50","광주광역시 남구 봉선동","172","0172","0000","무등파크1","119.1000","202506","02","28,000","-","2","개인","개인","1992","용대로 115","-","중개거래","광주 남구, 광주 서구","-"
"51","광주광역시 서구 풍암동","1132","1132","0000","우미광장","59.9550","202506","02","17,000","-","10","개인","개인","2000","풍암순환로 183","-","중개거래","광주 서구","-"
"52","광주광역시 서구 풍암동","1127","1127","0000","주은모아","59.2800","202506","02","17,200","-","6","개인","개인","2000","풍암2로 36","-","중개거래","광주 서구","-"
"53","광주광역시 북구 동림동","1330","1330","0000","운암산코오롱하늘채","64.2602","202506","02","30,500","-","8","개인","개인","2018","동배마을길 29","-","중개거래","광주 북구","-"
"54","광주광역시 북구 각화동","594","0594","0000","힐스테이트각화","84.9442","202506","02","43,300","-","25","개인","개인","2018","군왕로 295","-","중개거래","광주 북구","-"
"55","광주광역시 남구 방림동","562","0562","0000","무등산센트럴파크","51.8500","202506","02","24,700","-","8","개인","개인","2009","방림로 31","-","중개거래","광주 남구","-"
"56","광주광역시 동구 학동","898-4","0898","0004","백화","40.5000","202506","02","8,000","-","5","개인","개인","1992","천변우로 603","-","중개거래","광주 동구","-"
"57","광주광역시 북구 오치동","869-6","0869","0006","무등파크","59.9700","202506","02","11,900","-","11","개인","개인","1992","천지인로 47-3","-","중개거래","광주 북구","-"
"58","광주광역시 서구 유촌동","864","0864","0000","버들마을","84.8700","202506","02","25,350","-","13","개인","개인","2000","상무버들로40번길 14","-","중개거래","광주 서구","-"
"59","광주광역시 서구 금호동","240-2","0240","0002","종원팰리스빌","84.9831","202506","02","27,500","-","19","개인","개인","2002","화개1로 59-2","-","중개거래","광주 서구","-"
"60","광주광역시 동구 계림동","1827","1827","0000","그랜드센트럴","106.9938","202506","02","64,000","-","2","개인","개인","2020","경양로 234","-","중개거래","광주 동구","-"
"61","광주광역시 동구 계림동","1815","1815","0000","두산위브2차","39.8620","202506","02","16,500","-","9","개인","개인","2018","계림로30번길 15","-","중개거래","광주 동구","-"
"62","광주광역시 남구 지석동","506","0506","0000","힐스테이트지석","84.9892","202506","02","44,000","-","11","개인","개인","2024","포충로 631-8","-","직거래","-","-"
"63","광주광역시 서구 쌍촌동","1282","1282","0000","모아제일","84.9000","202506","02","24,000","-","5","개인","개인","1998","상일로 37","-","중개거래","광주 동구","-"
"64","광주광역시 광산구 신창동","1111","1111","0000","신창5차호반베르디움","84.6799","202506","02","36,000","-","10","개인","개인","2005","왕버들로251번길 27","-","중개거래","광주 광산구","-"
"65","광주광역시 광산구 산정동","933","0933","0000","대덕훼밀리","49.7700","202506","02","9,750","-","13","개인","개인","1994","산정공원로71번길 18-7","-","중개거래","광주 광산구","-"
"66","광주광역시 북구 신용동","863","0863","0000","첨단자이2차","84.9442","202506","02","40,900","-","11","개인","개인","2012","임방울대로 1020","-","중개거래","광주 북구","-"
"67","광주광역시 광산구 신가동","1030","1030","0000","신창7차부영사랑으로","84.9931","202506","02","28,500","-","10","개인","개인","2006","신창로35번길 54","-","중개거래","광주 광산구, 광주 북구","-"
"68","광주광역시 북구 용두동","1123","1123","0000","첨단진아리채","84.9821","202506","02","42,500","-","14","개인","개인","2020","용두마을2길 12","-","중개거래","광주 북구","-"
"69","광주광역시 북구 용두동","1111","1111","0000","이안광주첨단아파트","59.9800","202506","02","25,200","-","2","개인","개인","2017","용두마을길 13","-","중개거래","광주 북구","-"
"70","광주광역시 광산구 장덕동","1046","1046","0000","골드클래스","74.9851","202506","02","35,500","-","22","개인","개인","2013","장덕로5번길 16","-","중개거래","광주 광산구","-"
"71","광주광역시 광산구 도산동","1077-1","1077","0001","우미","60.0000","202506","02","10,200","-","3","개인","개인","1997","도산로 26","-","중개거래","광주 광산구","-"
"72","광주광역시 북구 연제동","1111","1111","0000","연제동고운하이플러스아파트","73.4639","202506","02","32,500","-","17","개인","개인","2017","양산제로 76","-","중개거래","광주 북구","-"
"73","광주광역시 광산구 장덕동","1110","1110","0000","신안실크밸리","84.9612","202506","01","33,500","-","5","개인","개인","2009","풍영로330번길 34","-","중개거래","광주 광산구","-"
"74","광주광역시 북구 신용동","675","0675","0000","광주첨단2지구호반베르디움1단지","84.9697","202506","01","45,500","-","23","개인","개인","2014","첨단연신로133번길 8","-","중개거래","광주 광산구","-"
"75","광주광역시 북구 신용동","651","0651","0000","한양수자인리버뷰","65.5173","202506","01","32,900","-","3","개인","개인","2014","첨단연신로 184","-","중개거래","광주 광산구, 광주 북구","-"
"76","광주광역시 남구 월산동","302-2","0302","0002","월산우방아이유쉘","84.8942","202506","01","35,000","-","2","개인","개인","2014","월산로 118","-","중개거래","광주 남구","-"
"77","광주광역시 동구 용산동","662","0662","0000","광주용산지구2BL계룡리슈빌더포레스트아파트","84.9717","202506","01","45,000","-","19","개인","개인","2019","용산1길 2","-","중개거래","광주 동구","-"
"78","광주광역시 서구 화정동","1611","1611","0000","유니버시아드힐스테이트1단지","84.9700","202506","01","48,500","-","6","개인","개인","2016","화운로 94","-","중개거래","광주 서구","-"
"79","광주광역시 서구 풍암동","1127","1127","0000","주은모아","59.2800","202506","01","17,000","-","10","개인","개인","2000","풍암2로 36","-","중개거래","광주 서구","-"
"80","광주광역시 북구 중흥동","819","0819","0000","중흥동영무예다음아파트","77.1872","202506","01","31,500","-","9","개인","개인","2015","서방로40번길 13","-","중개거래","광주 북구","-"
"81","광주광역시 남구 봉선동","1092","1092","0000","봉선동제일풍경채엘리트파크","84.9639","202506","01","83,000","-","8","개인","개인","2016","제석로80번길 5","-","중개거래","광주 남구","-"
"82","광주광역시 서구 화정동","1712","1712","0000","더샵염주센트럴파크","76.9341","202506","01","55,500","-","10","개인","개인","2022","월드컵4강로 27","-","중개거래","광주 서구","-"
"83","광주광역시 서구 쌍촌동","137-4","0137","0004","신천힐탑맨션","84.9450","202505","31","19,100","-","8","개인","개인","2011","상무오월로51번길 2","-","중개거래","광주 북구","-"
"84","광주광역시 서구 금호동","240-2","0240","0002","종원팰리스빌","84.9831","202505","31","28,700","-","17","개인","개인","2002","화개1로 59-2","-","중개거래","광주 서구","-"
"85","광주광역시 서구 금호동","240-2","0240","0002","종원팰리스빌","84.9831","202505","31","31,300","-","12","개인","개인","2002","화개1로 59-2","-","중개거래","광주 서구","-"
"86","광주광역시 북구 신안동","351-11","0351","0011","중흥파크맨션","59.3700","202505","31","8,250","-","9","개인","개인","1986","서암대로 66","-","중개거래","광주 북구","-"
"87","광주광역시 동구 계림동","175-7","0175","0007","SG빌리지","28.7425","202505","31","7,700","-","7","개인","개인","2018","중앙로 313","-","중개거래","광주 동구","-"
"88","광주광역시 북구 운암동","1101-1","1101","0001","나산건강","59.9700","202505","31","17,000","-","13","개인","개인","2000","북문대로169번길 20","-","중개거래","광주 북구","-"
"89","광주광역시 서구 화정동","1712","1712","0000","더샵염주센트럴파크","76.9612","202505","31","58,800","-","28","개인","개인","2022","월드컵4강로 27","-","중개거래","광주 서구","-"
"90","광주광역시 북구 오치동","929-1","0929","0001","혁신타운2","59.7800","202505","31","12,000","-","10","개인","개인","1995","오문로38번길 1","-","중개거래","전북 고창군","-"
"91","광주광역시 동구 계림동","1845","1845","0000","두산위브3차(두산위브더파크)","84.9706","202505","31","54,000","-","11","개인","개인","2021","중앙로290번길 16","-","중개거래","광주 동구","-"
"92","광주광역시 서구 화정동","1610","1610","0000","유니버시아드힐스테이트2단지","84.9800","202505","31","44,400","-","20","개인","개인","2016","화정로 211","-","중개거래","광주 서구","-"
"93","광주광역시 서구 쌍촌동","1380","1380","0000","상무엘리체","73.3745","202505","31","34,500","-","3","개인","개인","2018","월드컵4강로197번길 12","-","중개거래","광주 서구","-"
"94","광주광역시 북구 각화동","587","0587","0000","각화골드클래스","59.9889","202505","31","26,000","-","18","개인","개인","2017","각화대로69번길 16","-","중개거래","광주 북구","-"
"95","광주광역시 북구 삼각동","755-17","0755","0017","삼익","84.8700","202505","31","13,900","-","15","개인","개인","1990","설죽로370번길 15","-","중개거래","광주 북구","-"
"96","광주광역시 서구 쌍촌동","1385","1385","0000","상무한국아델리움","84.9543","202505","31","40,000","-","5","개인","개인","2019","내방로241번길 10","-","중개거래","광주 서구","-"
"97","광주광역시 동구 월남동","638","0638","0000","월남호반베르디움2차","59.9963","202505","31","22,000","-","16","개인","개인","2016","남문로 307","-","중개거래","광주 동구, 광주 서구","-"
