dong,area,price
광주광역시 서구 풍암동,80.1864,23300
광주광역시 서구 쌍촌동,84.42,28000
광주광역시 서구 화정동,84.97,45000
광주광역시 북구 용봉동,80.25,16000
광주광역시 북구 우산동,59.9625,39000
광주광역시 동구 계림동,75.9789,44500
광주광역시 북구 용봉동,84.8097,43000
광주광역시 서구 동천동,131.2954,67000
광주광역시 서구 동천동,84.99,28000
광주광역시 서구 풍암동,59.55,16800
광주광역시 서구 풍암동,134.626,44500
광주광역시 남구 봉선동,59.92,14000
광주광역시 서구 화정동,59.99,40000
광주광역시 북구 두암동,41.85,6200
광주광역시 북구 용봉동,99.98,26800
광주광역시 서구 풍암동,59.79,14850
광주광역시 북구 용봉동,84.8097,46700
광주광역시 서구 화정동,84.9795,52000
광주광역시 북구 문흥동,59.965,12600
광주광역시 북구 용봉동,114.1204,44500
광주광역시 북구 운암동,120.6054,49000
광주광역시 남구 진월동,84.84,16200
광주광역시 북구 삼각동,59.82,16300
광주광역시 동구 계림동,75.9867,46000
광주광역시 광산구 우산동,84.9629,43000
광주광역시 광산구 선암동,84.9827,39000
광주광역시 광산구 운남동,59.7699,28400
광주광역시 광산구 송정동,84.5844,22500
광주광역시 광산구 월계동,19.9836,4900
광주광역시 광산구 우산동,84.9629,43000
광주광역시 광산구 운남동,59.7699,28400
광주광역시 광산구 신가동,84.9931,31500
광주광역시 북구 양산동,37.479,7000
광주광역시 광산구 산정동,116.139,54000
광주광역시 북구 신용동,84.3616,29000
광주광역시 광산구 운남동,84.77,27500
광주광역시 북구 연제동,84.9934,40000
광주광역시 광산구 신창동,84.7886,25600
광주광역시 광산구 월곡동,59.04,8900
광주광역시 광산구 월곡동,72.475,13250
광주광역시 광산구 산월동,84.3979,25450
광주광역시 광산구 하남동,84.8198,26000
광주광역시 광산구 신가동,84.9931,33250
광주광역시 광산구 월계동,59.9451,17300
광주광역시 북구 용두동,59.94,14300
광주광역시 북구 일곡동,48.45,9400
광주광역시 서구 화정동,52.56,18000
광주광역시 북구 오치동,44.52,6800
광주광역시 남구 방림동,84.6496,35000
광주광역시 남구 월산동,59.8794,37400
광주광역시 서구 광천동,84.9405,68000
광주광역시 북구 두암동,41.85,7400
광주광역시 서구 치평동,59.91,19500
광주광역시 서구 쌍촌동,50.16,7700
광주광역시 남구 백운동,59.04,9400
광주광역시 동구 계림동,59.9903,38200
광주광역시 서구 금호동,59.99,20000
광주광역시 북구 일곡동,84.72,26000
광주광역시 동구 용산동,59.88,13400
광주광역시 북구 우산동,59.9883,36500
광주광역시 북구 매곡동,58.68,12000
광주광역시 북구 각화동,84.745,36300
광주광역시 북구 동림동,126.96,32200
광주광역시 북구 동림동,84.9779,42500
광주광역시 북구 운암동,59.82,10200
광주광역시 북구 운암동,84.748,21800
광주광역시 북구 운암동,59.82,8900
광주광역시 북구 운암동,120.6054,45500
광주광역시 북구 운암동,84.3,19200
광주광역시 동구 산수동,94.58,22500
광주광역시 북구 본촌동,84.98,35000
광주광역시 북구 용봉동,84.6,14800
광주광역시 동구 계림동,59.9055,36500
광주광역시 동구 충장로4가,49.831,17200
광주광역시 북구 매곡동,58.68,10800
광주광역시 북구 일곡동,48.45,8400
광주광역시 북구 두암동,49.77,9200
광주광역시 북구 우산동,84.924,63200
광주광역시 북구 동림동,126.96,27000
광주광역시 북구 용봉동,59.76,12500
광주광역시 북구 운암동,120.6054,47000
광주광역시 남구 임암동,84.9772,42000
광주광역시 북구 문흥동,134.94,38000
